id,descricao,fonte_formula,unidade_de_medida,meta
39,Índice de Intervalo de Substituição de Leitos - UTI Adulto,Taxa de desocupação x média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
40,Índice de Intervalo de Substituição de Leitos - UTI Pediatrica,Taxa de desocupação x média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
41,Índice de Intervalo de Substituição de Leitos - GLOBAL,Taxa de desocupação x média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
42,Cirurgias Realizadas,Quantidade de cirurgias realizadas de acordo com a especialidade,ABSOLUTO,800
43,Taxa de Ocupação de Sala Cirúrgica,Tempo total de uso das S.C. + Tempo total de higienização das S.C. / tempo total de disponibilidade do centro cirurgico para cirurgias X 100,PERCENTUAL,85
44,Giro de Salas Cirúrgicas,Total de cirurgias no período / nº total de salas cirúrgicas,ABSOLUTO,4
45,Taxa de Prevenção de Incidentes/Eventos Adversos Global,Total geral de incidentes/eventos adversos / total de pacientes dia X 100-100,PERCENTUAL,100
46,Incidência de Flebite,Nº de casos de flebite no período / nº de pacientes-dia com acesso venoso periférico X 100,PERCENTUAL,2
47,Incidência de Extubação Acidental,Nº de pacientes extubados acidentalmente / nº de pacientes intubados por dia X 100,PERCENTUAL,0
48,Incidência de Lesão por Pressão,Nº de casos novos em determinado período / nº de pessoas expostas ao risco no mesmo período X 100,PERCENTUAL,0
49,Incidência de não conformidade relaciona à administração de medicamentos,Nº de não conformidades relacionadas a administração de medicamentos / nº de pacientes-dia X 100,PERCENTUAL,0
50,Incidência de Prescrição Errada,N° de prescrições erradas identificadas / total de pacientes dia X 100,PERCENTUAL,0
51,Incidência de Queda,Nº de quedas / nº de pacientes-dia X 1.000,ABSOLUTO,0
52,Incidência Perda de SNE,Nº de perdas de sonda nasogastroenteral / nº de pacientes com sonda nasogastroenteral-dia X 100,PERCENTUAL,0
53,Índice de Satisfação do Usuário,Total de avaliações classificadas como bom e/ou ótimo / total pesquisas realizadas,PERCENTUAL,90
54,Taxa Geral de Profissionais Treinados,Total de profissionais treinados / n° total de profissionais da unidade x 100,PERCENTUAL,100
55,Taxa de Profissionais Treinados por Categoria (Administrativo e poio; Enfermagem; Fisioterapia; Fonoaudiologia; Farmácia; Serviço Social; Psicologia; Médicos),Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,PERCENTUAL,100
56,Taxa de Adesão aos Treinamentos,Total de Profissionais que participaram dos treinamentos / N° total de profissionais convidados para o treinamento x 100,PERCENTUAL,90
57,Taxa de Acidente de Trabalho,Nº de acidentes de trabalho / nº de funcionários ativos no cadastro do hospital X 100,PERCENTUAL,0
58,Taxa de infecção relacionada à assistência à saúde,N° de casos de IRAS / total de saídas X 100,PERCENTUAL,2
59,Densidade de incidência de pneumonia associada à ventilação mecânica,N° de casos de PAV / n° de ventilações mecânicas-dia X 1.000,ABSOLUTO,0
60,Taxa de utilização de ventilação mecânica,N° de ventilações mecânicas-dia / n° de pacientes-dia X 100,PERCENTUAL,30
61,Densidade de incidência de infecção do trato urinário relacionada a cateter vesical de demora,N° de ITU CVD / n° de CVD-dia X 1.000,ABSOLUTO,0
62,Taxa de utilização de cateter vesical de demora,N° CVD-dia / n° de pacientes-dia X 100,PERCENTUAL,20
63,Densidade de incidência de infecção primária da corrente sanguínea com confirmação laboratorial associada a cateter venoso central,N° de casos novos de IPCS laboratorial / nº de cateteres venosos centrais-dia x1.000,ABSOLUTO,0
64,Densidade de incidência de infecção primária da corrente sanguínea clínica sem confirmação laboratorial associada à cateter venoso central,N° de casos novos de IPCS clínica / nº de cateteres venosos centrais-dia X 1.000,ABSOLUTO,0
65,Taxa de utilização de cateter venoso central,N° de pacientes com CVC-dia / n° de pacientes-dia X 100,PERCENTUAL,30
66,Taxa de cobertura do checklist de inserção do cateter venoso central,N° total de bundles realizados / n° total de cateter central inseridos X 100,PERCENTUAL,100
67,Índice de cateter inserido seguindo todas as recomendações do checklist (100% de conformidade),N° de bundles positivos / n° total de bundles realizados X 100,PERCENTUAL,100
68,Taxa de infecção de sítio cirúrgico em cirurgias limpas,N° de casos de ISC em cirurgias limpas / n° de cirurgias limpas X 100,PERCENTUAL,1
69,Taxa de infecção de sítio cirúrgico em artroplastias totais de quadril,N° de casos de ISC em artroplastias totais de quadril / n° de artroplastias totais de quadril X 100,PERCENTUAL,1
70,Taxa de infecção de sítio cirúrgico em artroplastias de joelho,N° de casos de ISC em artroplastias de joelho / n° de artroplastias de joelho realizadas X 100,PERCENTUAL,1
71,Taxa de infecção de sítio cirúrgico em cesáreas,N° de casos de ISC em cesáreas / nº de cesáreas realizadas X 100,PERCENTUAL,1
72,Taxa de infecção de sítio cirúrgico em craniotomias,N° de casos de ISC em craniotomias / nº de craniotomias realizadas X 100,PERCENTUAL,1
73,Taxa de infecção de sítio cirúrgico em revascularizações do miocárdio,N° de casos de ISC em RM / n° de cirurgias de RM X 100,PERCENTUAL,1
74,Atendimento de Urgência com Observação até 24 horas em Atenção Especializada (internação nas alas),Quantidade,ABSOLUTO,400
75,Atendimento em Unidade de Pronto Atendimento (consultas médicas),Quantidade,ABSOLUTO,3000
76,Produção de Diagnóstico em Laboratório,Quantidade de Diagnóstico em Laboratório,ABSOLUTO,12000
77,Produção de Diagnóstico em Raio X,Quantidade de Raio X,ABSOLUTO,3500
78,Produção de Diagnóstico em Ultrassonografia,Quantidade de Ultrassonografia,ABSOLUTO,2800
79,Produção de Diagnóstico em Eletrocardiograma,Quantidade de Eletrocardiograma,ABSOLUTO,1600
80,Giro de Leito - Enfermaria Adulto,Total de saídas (altas + óbitos + transferências internas e externas + evasões) / nº de leitos operacionais do setor X 100,PERCENTUAL,4
81,Giro de Leito - Enfermaria Pediatra,Total de saídas (altas + óbitos + transferências internas e externas + evasões) / nº de leitos operacionais do setor X 100,PERCENTUAL,4
82,Índice de Intervalo de Substituição de Leitos -Enfermaria Adulto,Taxa de desocupação X média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
83,Índice de Intervalo de Substituição de Leitos -Enfermaria Pediátrica,Taxa de desocupação X média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
84,Taxa de Mortalidade Institucional (> 24 horas),Nº de óbitos > 24 horas / saídas X 100,PERCENTUAL,2
85,Taxa de Mortalidade GLOBAL (> e < de 24 horas),Total geral de óbitos (> e < 24horas) / saídas X 100,PERCENTUAL,3
86,Incidência de não conformidade relacionada à administração de medicamentos,Nº de não conformidades relacionadas a administração de medicamentos / nº de pacientes-dia X 100,PERCENTUAL,0
87,Taxa de adesão ao checklist de verificação (BUNDLES) das práticas de inserção segura de cateter central,N° total de bundles realizados / n° total de cateter central inseridos X 100,PERCENTUAL,100
88,Cosultas Médicas Especializadas,Quantidade consultas de acordo com a especialidade,ABSOLUTO,2500
89,Consultas de Profissionais de Nível Superior (Exceto médico),Quantidade de consultas por categoria profissional,ABSOLUTO,1800
90,Serviço de Apoio Diagnóstico e Terapeutico - SADT,Quantidade por procedimento realizados,ABSOLUTO,5000
91,Nº de Partos Normal,Número de partos normais ocorridos na unidade,ABSOLUTO,300
92,Nº de Partos Cesárea,Número de partos cesáreos ocorridos na unidade,ABSOLUTO,150
93,Nº de Parto Normal Assistido por Enfermeiro,Número de partos normais assistidos por enfermeiros ocorridos na unidade,ABSOLUTO,200
94,Taxa de Ocupação Operacional de Leitos -Enfermaria,Total de paciente dia do setor / total de leito dia operacional do setor X 100,PERCENTUAL,85
95,Taxa de Ocupação Operacional de Leitos -UTI Materna,Total de paciente dia do setor / total de leito dia operacional do setor X 100,PERCENTUAL,85
96,Tempo Médio de Permanência - Enfermaria ,Total de paciente dia por setor / total de saídas por setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,3
97,Tempo Médio de Permanência - UTI Materna,Total de paciente dia por setor / total de saídas por setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,5
98,Índice de Intervalo de Substituição de Leitos - Enfermaria,Taxa de desocupação x média de permanência do setor em dias / taxa de ocupação hospitalar,PERCENTUAL,1
99,Índice de Intervalo de Substituição de Leitos - UTI Materna,Taxa de desocupação x média de permanência do setor em dias / taxa de ocupação hospitalar,PERCENTUAL,1
100,Nº de Óbitos Maternos,Nº total de óbitos ocorridos na unidade,ABSOLUTO,0
101,Taxa de Mortalidade Materna,Total geral de óbitos por causas maternas / total de saídas de paciente de obstetrícia X 100,PERCENTUAL,0
102,Densidade de Incidência de Mortalidade Infantil,Nº de óbitos de residentes com menos de um ano de idade / nº total de nascidos vivos de mães residentes X 1.000,ABSOLUTO,5
103,Taxa de Mortalidade Neonatal,(Óbitos Neonatais / Nascidos Vivos) * 1.000,TAXA,5
104,RN com Peso ≤ a 1.000g,Nº de óbitos de RN com peso ≤ a 1.000g / nº total de RN com peso ≤ a 1.000g X 100,TAXA,10
105,RN com Peso entre 1.101g até 1.500g,Nº de óbitos de RN com peso entre 1.101g até 1.500g / nº total de RN com peso com peso entre 1.101g até 1.500g X 100,PERCENTUAL,5
106,RN com Peso entre 1.501g até 2.500g,Nº de óbitos de RN com peso entre 1.501g até 2.500g / nº total de RN com peso com peso entre 1.501g até 2.500g X 100,PERCENTUAL,2
107,RN com Peso ≥ a 2.500g,Nº de óbitos de RN com peso ≥ a 2.500g / nº total de RN com peso ≥ a 2.500g X 100,PERCENTUAL,1
108,Taxa de Cesáreas,Nº de partos cesáreos / nº de partos ocorridos X 100,PERCENTUAL,30
109,Taxa Geral de Profissionais Treinados – GLOBAL,Total de profissionais treinados / n° total de profissionais da unidade x 100,PERCENTUAL,100
110,Taxa de Profissionais Treinados - Administrativo e apoio;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 100,PERCENTUAL,100
111,Taxa de Profissionais Treinados - Enfermagem;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 101,PERCENTUAL,100
112,Taxa de Profissionais Treinados - Fisioterapia;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 102,PERCENTUAL,100
113,Taxa de Profissionais Treinados – Fonoaudiologia;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 103,PERCENTUAL,100
114,Taxa de Profissionais Treinados - Farmácia;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 104,PERCENTUAL,100
115,Taxa de Profissionais Treinados – Serviço Social;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 105,PERCENTUAL,100
116,Taxa de Profissionais Treinados – Psicologia;,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 106,PERCENTUAL,100
117,Taxa de Profissionais Treinados – Médicos,Total de profissionais treinados da categoria / n° total de profissionais da categoria x 107,PERCENTUAL,100
118,Taxa de Infecção relacionada à assistência à saúde,N° de casos de IRAS / total de saídas X 100,PERCENTUAL,2
